soc,weight,temperature,battery_health,distance
31.78,4362.8,31.62,98.24,-91.38
14.83,3821.26,-16.69,94.03,-70.45
71.5,3658.16,53.76,83.78,190.31
1.77,4959.01,-35.68,96.49,-225.81
11.17,3317.32,-3.15,83.76,-18.79
73.99,4487.24,-10.34,81.18,113.55
43.66,4982.6,37.68,81.33,-122.15
0,3289.7,-39.66,84.1,-33.77
58.22,3568.78,-34.7,89.24,112.37
78.54,3858.59,-4.44,89.86,226.37
25.33,4077.9,53.18,90.96,-76.25
18.23,4953.89,5.15,97.04,-195.33
35.2,3809.91,-25.08,88.09,-16.16
33.67,4243.02,-16.45,85.34,-71.58
38.99,3606.94,40.66,85.56,20.51
27.02,3907.66,33.75,87.5,-51.93
75.0,3268.64,19.9,88.84,264.02
39.4,4296.71,20.88,95.41,-58.43
95.3,4687.03,22.93,94.5,318.42
61.4,4841.24,-28.3,89.16,-17.28
5.4,4485.6,24.07,81.11,-164.99
4.56,4677.95,-21.24,85.69,-188.76
58.64,3136.4,55.32,88.63,165.17
74.58,3787.66,-5.81,87.1,199.99
52.81,3057.83,58.48,80.43,143.2
46.85,4670.26,-37.97,96.33,-72.46
94.48,4502.56,-7.18,97.33,328.85
67.3,3800.51,52.83,86.55,142.71
65.25,4297.16,34.67,83.91,70.76
64.56,3444.81,-36.83,83.36,165.55
41.24,4320.15,55.84,96.41,-54.35
89.21,4933.23,52.12,96.6,212.37
3.23,3552.18,23.79,80.29,-59.6
29.87,4896.18,-16.84,82.21,-159.21
77.85,3981.02,32.04,84.98,205.82
77.35,4859.5,29.62,88.93,98.93
39.28,4624.98,17.7,85.1,-97.13
18.06,3606.86,-1.54,91.34,-38.67
18.34,3041.65,-17.28,87.25,27.84
45.48,3002.5,-9.78,90.84,116.15
22.66,4217.58,50.9,86.5,-99.25
83.75,3800.51,56.24,88.17,283.97
48.04,4194.63,39.13,83.37,-11.79
41.91,3262.67,-35.16,90.89,71.49
7.85,4178.28,-6.84,91.46,-125.09
19.54,3986.42,-0.57,88.35,-79.63
11.89,3739.01,12.31,99.1,-66.61
48.86,3646.73,23.53,84.19,55.77
89.95,3026.03,41.84,90.3,443.53
61.97,3301.59,49.92,94.08,165.72
89.82,4574.07,36.14,95.94,261.5
81.97,4570.96,49.35,92.95,176.07
92.26,3203.13,-8.77,96.14,451.41
16.84,4569.46,-9.22,85.39,-153.51
39.33,4115.56,-5.28,83.64,-37.56
80.62,3976.01,1.96,82.19,232.22
65.16,3607.34,5.07,87.27,150.58
66.56,3999.17,25.76,84.59,114.4
13.92,3722.62,-4.76,89.73,-60.77
61.6,4884.8,1.44,97.1,-21.13
25.01,3154.55,25.99,97.14,30.56
21.24,3971.53,-29.85,98.05,-73.97
66.82,4610.77,20.91,92.37,44.9
80.84,3094.75,-5.93,89.98,337.09
22.42,3292.95,48.28,86.6,7.96
24.41,3017.82,34.59,83.56,44.97
91.43,4949.35,34.39,97.03,237.4
40.59,4211.06,10.52,91.01,-44.07
11.44,4285.93,-29.06,92.02,-131.21
58.99,4866.37,-19.17,97.08,-34.51
31.51,3040.58,28.07,96.54,61.95
37.66,4605.99,28.07,84.33,-100.66
35.27,4179.2,-10.44,87.61,-58.98
87.77,3616.06,-13.59,94.19,349.22
53.49,4435.95,-29.28,94.03,-14.05
47.57,4953.24,35.5,90.13,-102.31
49.17,4686.04,18.0,85.75,-63.99
44.32,3293.84,-27.51,80.88,77.39
6.74,4780.92,-0.9,97.97,-197.22
51.14,4059.57,8.34,95.57,18.26
89.82,3653.59,47.98,91.06,368.81
48.69,4605.59,14.19,93.61,-56.79
5.35,3858.19,30.69,88.3,-91.93
7.25,3451.93,-38.37,93.78,-41.43
45.12,4657.91,57.32,87.49,-78.34
81.71,4926.63,52.71,89.77,132.03
13.53,4414.27,-25.85,80.96,-142.18
72.52,4797.19,49.36,89.4,65.53
9.77,4245.42,47.34,92.38,-129.55
60.88,3958.22,-23.68,97.53,82.51
73.39,3034.64,37.32,82.99,277.99
74.48,4735.26,53.22,90.86,88.69
9.56,3268.65,-9.56,82.33,-16.05
23.34,4053.73,-13.25,89.1,-78.48
59.04,3895.24,26.19,95.92,79.0
14.84,3100.72,-3.22,94.18,13.57
22.08,4123.58,57.04,88.56,-89.7
72.39,3264.32,-22.28,88.74,243.2
12.45,3570.03,7.69,81.63,-45.85
26.74,3018.72,11.68,98.51,50.95
88.53,4277.4,6.85,97.31,280.87
0.96,4293.91,-9.0,84.31,-149.46
69.55,3794.78,30.19,88.23,159.6
16.45,3493.34,-15.92,83.3,-28.88
80.05,4145.76,0.76,90.12,206.98
43.13,4756.2,50.03,87.6,-97.87
23.01,4462.49,-34.65,91.82,-126.95
25.13,4221.83,-26.39,83.15,-93.55
33.98,3165.25,-24.9,88.45,55.06
83.76,3000.01,-25.54,89.68,377.4
56.36,3900.41,30.57,86.92,63.41
81.19,3854.93,29.69,81.7,251.86
51.98,4271.98,35.98,87.59,-2.44
28.15,3960.91,-0.29,87.72,-55.05
23.02,3308.25,-30.33,91.3,7.64
17.61,3654.1,29.6,96.13,-45.15
61.68,3550.84,36.24,90.88,134.87
22.31,4902.54,22.21,90.01,-179.95
9.05,4010.67,8.57,83.98,-103.46
18.73,3867.48,48.78,91.34,-67.58
17.64,3035.25,-6.9,80.98,27.06
33.9,3226.13,-25.3,92.19,47.7
24.51,3750.49,57.58,88.47,-40.19
47.73,3929.81,44.14,93.84,17.71
1.94,4217.55,-29.16,95.53,-139.12
63.92,4145.09,-0.97,82.53,79.73
59.04,4826.16,27.7,95.39,-29.53
14.01,4430.64,-21.85,90.1,-143.14
19.08,4796.46,44.09,92.79,-175.1
76.86,3532.77,22.65,90.1,249.26
25.07,3594.87,-15.72,87.08,-20.62
72.61,3692.86,-2.12,98.84,194.99
39.66,3368.11,30.23,86.06,50.78
17.02,4531.23,49.73,88.03,-148.68
18.71,3914.17,-27.26,82.81,-73.06
1.51,4340.73,-23.81,82.29,-154.12
21.51,4251.5,40.72,81.69,-105.97
1.31,3914.1,-19.71,80.05,-104.67
18.83,4047.16,20.73,83.97,-88.3
61.39,3807.49,16.04,83.59,103.18
11.19,3903.55,0.63,83.35,-87.1
35.55,3423.76,24.58,82.38,30.01
23.06,3138.3,-35.27,98.65,27.55
68.53,4365.44,40.1,85.19,85.61
65.86,3274.01,-31.29,86.23,194.15
23.23,3942.35,55.22,98.69,-65.77
17.85,3278.12,39.72,99.79,-0.8
61.03,4666.2,-15.22,89.75,0.88
45.65,3851.85,20.44,85.68,17.84
72.74,3399.76,15.94,91.68,230.19
41.98,4876.61,-19.03,85.57,-116.39
49.88,3852.65,18.48,88.13,36.44
14.74,3057.7,45.0,80.9,18.38
15.72,4133.75,42.71,97.79,-105.06
66.19,4015.11,-38.41,95.11,110.0
12.01,4444.25,45.78,84.19,-148.6
80.83,4964.19,32.73,95.64,119.05
78.06,4864.74,14.88,89.21,104.7
77.4,3159.1,2.8,87.33,297.61
31.74,4927.28,-29.23,93.59,-157.31
56.02,3016.57,-31.45,82.26,164.61
7.47,3974.57,13.42,86.43,-101.99
85.33,3905.0,25.5,86.32,288.48
65.53,3650.47,-34.02,99.31,148.03
69.01,3694.66,13.14,91.34,167.3
72.86,4284.39,15.59,88.4,128.02
75.92,3430.4,8.22,82.08,253.01
64.56,4115.38,55.66,87.34,87.37
52.03,4090.21,58.86,89.89,18.99
4.85,4494.56,-13.94,81.84,-166.92
63.45,3606.12,10.81,81.66,139.54
54.77,4456.73,-35.93,83.14,-9.9
10.26,4395.73,-4.97,89.45,-146.19
1.5,3880.37,46.87,97.21,-100.46
18.61,4952.72,27.18,92.52,-194.36
35.29,4702.88,19.39,97.98,-119.96
84.53,3877.7,-23.98,99.02,283.13
54.15,4755.21,-31.23,80.63,-47.91
26.78,3975.62,-6.7,96.29,-60.5
50.29,3304.16,26.38,97.02,102.3
18.89,3858.63,-9.43,84.46,-66.19
32.35,4881.24,-9.4,90.05,-150.09
62.96,3049.94,32.89,88.14,201.25
35.86,4443.12,27.3,85.56,-87.79
24.04,4445.46,34.36,95.42,-122.4
5.42,4459.68,-16.76,91.63,-161.94
58.33,4506.91,-22.54,93.35,3.63
33.87,3655.5,32.66,90.81,-2.45
20.52,3551.89,-16.12,87.56,-26.73
32.12,4312.28,11.41,85.89,-84.46
47.86,3673.14,54.41,82.52,48.21
3.47,3007.58,-0.68,85.43,4.26
42.04,3146.6,28.57,94.19,85.52
23.71,3601.21,21.44,80.1,-24.81
5.29,4052.78,13.28,86.23,-114.71
13.69,3373.04,-31.67,91.67,-20.47
22.81,4272.3,49.41,83.26,-105.27
55.74,3053.88,51.56,80.32,158.76
47.72,4856.7,32.58,83.81,-90.39
12.33,4714.38,-25.25,86.73,-179.48
45.4,4570.37,23.42,98.81,-66.97
28.72,3823.52,-26.0,86.95,-37.44
17.86,3197.16,48.74,81.25,8.66
2.62,4256.6,38.66,82.58,-142.65
60.56,4503.21,18.69,83.02,17.05
23.46,4008.44,45.95,80.64,-72.9
72.76,3109.36,14.53,88.19,264.21
21.6,4616.43,-3.99,97.22,-148.3
38.74,3697.28,41.9,84.28,9.08
75.52,3649.72,-2.14,81.87,224.01
33.65,4340.88,17.87,86.76,-83.05
52.83,3015.85,22.58,93.03,148.19
78.91,3170.49,18.06,87.01,310.0
40.21,3151.39,-9.63,98.63,78.06
74.39,3420.97,10.4,80.21,241.16
46.69,4604.98,59.1,83.76,-65.54
59.7,3619.19,-7.08,80.55,115.02
60.89,3754.06,31.44,94.27,106.37
23.33,3837.46,45.64,95.78,-53.29
83.81,4153.56,-5.48,87.45,243.43
72.32,4708.8,-35.56,95.54,74.25
40.52,3202.05,2.66,85.2,73.3
15.68,4670.79,15.56,84.47,-167.76
81.18,4779.45,-16.94,99.9,143.99
86.5,3347.39,58.77,98.35,366.27
82.77,3753.74,50.53,94.98,279.37
61.96,3537.6,-25.54,87.26,138.14
35.16,3881.92,-13.9,99.71,-24.68
5.42,4713.25,-6.87,90.34,-191.5
47.32,3871.1,16.46,81.69,22.75
98.54,4073.29,-4.94,98.6,435.9
93.94,3711.66,17.42,94.88,413.87
4.48,3693.66,-6.81,88.54,-74.14
1.59,3656.1,38.01,88.59,-74.18
63.29,4127.01,43.75,83.52,77.79
5.01,3951.02,-7.41,98.41,-103.3
40.47,4919.1,-21.79,89.57,-127.06
53.22,3479.75,5.31,90.04,96.06
0,3712.22,-36.13,98.56,-83.03
4.78,3613.05,43.49,93.19,-64.27
26.83,4223.57,24.61,91.91,-89.27
4.18,3107.71,38.89,83.1,-6.3
89.34,3326.33,55.49,92.31,401.24
13.91,3899.03,-13.83,81.82,-81.36
69.06,3015.69,27.36,83.19,246.82
25.01,4759.31,27.47,81.65,-156.52
34.4,4270.19,6.8,94.12,-72.41
2.27,4991.73,46.4,93.67,-228.88
62.88,4624.72,51.1,82.81,17.16
23.2,3451.52,18.88,86.2,-8.62
56.36,4643.78,-24.32,97.99,-23.25
16.91,4878.78,-10.72,81.97,-189.43
15.24,3975.35,55.51,87.1,-87.58
44.89,3373.51,-15.25,89.46,70.44
48.41,4885.22,54.53,82.1,-90.65
31.43,3112.48,-16.42,94.97,53.33
78.48,4272.3,38.25,86.66,177.59
36.8,4624.37,15.21,91.74,-105.76
78.44,4563.12,-26.93,91.78,143.32
14.17,4564.61,-3.7,87.08,-158.44
69.65,3018.55,37.01,80.14,250.84
73.14,4099.34,2.65,84.44,151.85
16.0,3047.62,37.4,98.27,22.14
63.77,3577.54,-11.92,99.25,144.93
89.23,4642.04,55.17,90.76,246.55
51.05,3590.23,-4.65,97.39,72.55
94.04,4624.41,-10.93,95.39,308.79
34.96,3929.31,2.71,89.66,-30.86
36.68,4114.58,57.72,83.74,-46.74
75.29,3182.3,32.34,84.89,276.54
37.86,4384.98,-5.97,84.74,-74.19
6.02,4841.91,16.27,93.35,-205.52
40.72,3940.21,16.82,93.85,-12.01
41.43,3670.22,40.47,81.94,22.14
79.69,4071.35,13.59,92.7,212.25
30.91,3183.17,15.92,85.97,43.53
43.1,4462.6,26.94,83.76,-63.76
82.76,4985.68,-2.49,84.32,135.65
27.7,4058.31,31.3,83.8,-67.65
61.41,3501.4,-21.94,90.47,138.98
54.28,4347.04,21.83,81.59,0.35
65.06,3537.99,8.76,88.0,158.0
20.39,4538.45,26.97,92.26,-142.04
51.13,4537.84,30.61,87.21,-37.54
25.02,4245.26,-15.93,90.84,-96.57
0,3984.6,-35.21,92.16,-114.79
2.29,3761.59,40.82,80.79,-85.44
64.42,4659.89,-36.14,98.64,22.98
52.77,3270.28,-38.17,99.09,118.23
56.88,3536.16,12.21,95.1,108.71
27.55,4555.94,33.02,91.61,-126.07
19.5,3359.65,17.85,92.84,-6.65
44.19,4698.89,-36.39,96.97,-86.94
55.79,3463.33,44.1,83.76,111.3
30.61,3065.89,2.81,85.1,56.32
38.57,4330.1,-35.17,88.82,-65.3
49.21,4553.72,54.25,99.86,-48.38
88.42,4687.58,38.53,97.8,231.77
12.29,4377.4,0.25,95.18,-140.27
7.15,3494.2,42.34,83.75,-46.53
9.11,3024.24,-23.86,84.27,11.64
59.22,3970.11,28.31,95.18,71.31
13.61,3455.77,39.99,94.21,-30.28
37.86,4938.76,-26.86,84.85,-138.75
81.16,3450.68,-24.07,89.29,298.7
74.4,4963.83,45.66,90.02,61.38
74.75,3630.35,51.71,81.94,219.76
52.24,4413.7,-7.02,88.01,-17.69
16.41,4035.31,-20.69,83.88,-92.15
59.84,3065.75,33.8,83.1,180.36
20.74,3860.02,24.65,91.7,-62.14
5.36,3995.42,18.06,95.32,-107.91
24.4,3837.12,13.81,88.39,-50.57
19.34,4550.03,-4.04,81.15,-145.79
54.72,3368.44,-26.37,85.13,116.71
46.27,4800.58,36.51,89.08,-90.14
77.18,4787.99,22.68,84.58,105.75
16.52,4710.45,-10.04,92.56,-170.63
36.02,3414.13,-14.9,98.45,32.7
83.24,3575.01,10.45,90.24,305.0
52.54,3327.0,-10.19,82.95,110.48
31.52,3296.32,-3.47,99.87,32.16
44.66,3109.62,-27.08,80.11,100.26
4.13,4103.35,27.58,92.85,-122.46
10.25,4021.18,-26.47,97.4,-102.54
29.69,3070.69,-34.42,83.63,53.09
39.2,4741.86,27.82,97.61,-111.04
19.71,4187.9,0.41,93.02,-102.73
5.13,4786.4,16.61,90.88,-200.5
29.82,4566.67,14.92,98.5,-120.94
74.93,3459.47,34.77,93.52,241.19
24.73,4037.31,15.92,90.26,-73.07
85.63,3281.7,55.9,99.3,364.39
24.43,3113.28,40.0,81.28,33.89
7.36,4410.55,16.91,86.39,-153.0
23.05,4119.37,-21.49,81.76,-86.85
75.21,4881.22,54.86,92.86,77.8
62.33,4436.51,13.35,97.26,35.65
74.63,3835.32,28.57,82.57,194.86
29.13,4765.46,7.34,81.74,-146.09
44.62,3144.43,21.23,96.15,96.04
12.6,4345.32,-17.29,91.28,-135.94
74.98,4807.9,54.64,83.56,84.41
65.1,3040.48,38.8,94.3,216.26
8.4,4010.07,4.48,98.4,-104.53
36.78,4288.98,-39.08,81.49,-66.73
76.05,4235.53,-26.73,96.82,160.26
33.23,4333.88,53.68,96.42,-83.55
18.0,3783.55,9.18,97.82,-59.4
43.4,3445.73,54.25,94.49,55.98
55.61,4602.43,43.02,83.34,-22.46
3.76,3928.73,59.54,94.97,-102.68
52.36,3760.93,53.18,97.57,59.0
16.12,3891.45,-36.31,92.34,-75.99
43.86,3041.14,40.07,94.18,104.99
84.65,3548.45,32.93,87.02,322.79
38.07,3386.31,6.65,99.22,42.97
34.28,4342.37,9.6,81.59,-81.21
89.85,3435.56,-17.65,93.1,394.58
31.4,4812.8,-28.76,80.28,-144.99
13.77,3026.56,-36.0,97.37,20.08
17.87,4531.05,-14.22,84.3,-146.82
0,3134.65,-34.66,83.35,-15.7
22.58,3841.84,-27.07,94.37,-55.64
55.53,3309.71,-22.2,93.45,127.82
83.31,4758.45,44.57,87.94,167.75
32.56,3852.63,31.96,97.05,-29.53
49.22,4122.4,-20.75,85.82,1.95
63.38,3975.57,39.15,84.31,96.02
72.78,3525.46,44.69,94.79,215.86
86.76,4482.62,-4.61,99.71,236.81
72.5,4198.64,-18.31,85.0,135.15
70.51,4839.27,14.23,89.0,45.02
89.39,3594.31,59.29,91.13,370.59
35.52,4632.13,24.81,93.46,-110.96
3.98,4535.49,-20.81,93.57,-173.07
48.93,3169.97,36.16,86.75,111.67
4.01,4246.41,-30.26,88.69,-139.32
76.4,3062.66,6.68,99.62,300.03
55.91,3035.31,37.43,93.36,161.84
6.11,4460.59,49.25,80.57,-160.92
69.3,3592.17,4.27,90.3,181.38
46.03,4965.48,-34.36,85.43,-110.38
76.63,3191.21,34.8,94.68,287.06
0,3282.14,-38.6,84.13,-32.89
43.44,4150.48,-12.07,94.13,-26.02
51.41,4237.81,21.13,97.23,-1.22
39.39,4050.63,40.72,98.94,-29.77
76.46,3860.69,31.54,93.78,207.52
44.6,3618.33,1.62,90.6,40.71
79.88,4523.34,39.04,95.82,161.35
37.55,3443.34,-20.11,84.1,34.5
72.27,4498.0,44.74,82.33,98.43
88.55,4594.64,-4.99,90.71,244.11
51.47,3248.91,56.27,82.78,114.35
38.52,3263.4,12.56,80.67,58.88
41.89,4554.36,-14.33,99.44,-79.17
3.07,4518.18,-8.5,85.89,-172.46
10.88,4539.27,38.93,98.2,-161.79
28.74,4741.88,59.78,81.0,-144.45
80.31,4085.99,5.82,91.31,216.43
13.67,3799.14,31.94,81.3,-70.19
46.63,3380.11,-31.83,96.36,77.0
19.04,3517.14,28.63,97.97,-26.04
87.91,3600.89,34.4,93.1,352.58
70.74,3461.25,-38.76,95.24,207.42
75.55,3767.19,-22.86,83.59,210.57
56.82,4806.66,18.86,86.96,-39.74
25.44,3245.47,-38.7,98.61,21.08
90.45,3980.05,-11.62,91.6,338.35
35.41,4970.71,41.0,88.23,-150.79
90.15,3238.3,55.43,99.85,421.19
2.51,4305.84,-37.73,91.68,-148.56
49.12,4359.92,-20.63,87.91,-26.19
86.96,3277.84,31.19,91.6,379.49
86.6,3435.62,-29.82,98.86,357.09
0,3640.37,-36.05,98.06,-74.65
63.37,4038.6,26.35,97.58,88.61
72.08,4956.63,-18.77,93.0,43.46
81.64,3768.19,-4.83,91.47,266.39
60.84,3734.27,56.69,80.31,108.38
0,4381.81,-37.83,89.73,-161.09
68.94,3083.2,23.71,95.46,238.07
76.15,4089.03,-28.37,91.42,178.21
85.3,3909.98,25.17,97.27,287.58
60.21,3543.56,14.63,94.08,126.85
72.17,4983.85,-23.17,89.95,41.0
20.19,3305.83,-24.72,92.94,1.2
21.68,3544.32,26.88,88.5,-23.12
61.78,3551.04,45.54,98.24,135.47
82.77,3199.83,-7.76,94.67,343.95
48.59,4019.04,55.36,80.29,11.14
72.87,4445.69,51.11,80.53,109.3
88.15,3439.33,3.03,98.32,374.17
29.15,3572.17,31.42,96.4,-6.92
55.45,4831.59,40.66,81.68,-50.03
68.96,4152.02,-3.66,95.73,113.62
38.73,4666.44,2.15,81.09,-103.94
61.09,3781.53,35.01,82.97,104.38
22.74,4325.37,36.48,83.14,-111.62
28.6,4308.25,52.68,93.48,-94.29
82.12,4273.13,-30.3,96.28,212.29
29.39,4983.98,-24.05,84.56,-170.83
63.17,3682.84,-30.17,94.82,128.8
3.02,3698.28,-32.28,80.31,-76.95
28.6,3009.2,52.63,86.3,57.16
18.02,4479.13,40.39,98.14,-140.45
16.34,4270.51,19.68,94.51,-119.72
97.69,3933.91,-11.16,99.8,439.75
22.79,4598.91,38.68,89.49,-143.39
28.38,4764.51,26.08,86.25,-148.09
90.18,4065.5,38.58,95.6,325.12
7.04,3173.55,-8.74,85.7,-9.33
5.88,3618.46,-13.83,94.19,-63.12
50.7,4602.85,20.73,94.29,-47.17
14.35,3127.67,11.82,98.2,9.44
47.29,4973.52,-37.78,88.0,-105.9
1.84,4048.34,54.78,85.72,-119.54
39.7,4475.84,51.08,97.86,-78.22
58.85,4190.56,20.92,92.34,43.48
69.96,3502.28,36.61,87.46,196.75
18.68,3019.97,-38.96,86.78,31.12
7.92,4295.6,40.09,81.87,-138.64
0,4690.18,-36.96,84.21,-197.04
4.0,3502.6,29.8,85.5,-52.62
79.83,3452.03,5.14,89.72,285.77
60.3,3689.08,18.07,99.72,110.42
2.09,3902.67,35.72,88.1,-102.19
20.16,3064.35,38.05,95.88,29.28
77.03,3287.33,-17.06,90.58,279.37
62.72,4127.07,18.26,82.54,74.17
47.43,3844.72,23.3,87.13,26.31
42.56,3638.15,44.45,91.3,30.24
15.98,4949.94,11.55,80.25,-199.68
30.19,3924.14,-32.74,91.97,-44.96
70.96,4223.14,18.07,88.37,120.28
52.42,4678.4,15.84,97.01,-47.66
75.55,4600.5,30.24,85.38,113.42
7.13,3613.58,32.21,86.56,-60.48
45.94,4050.26,-39.44,84.4,-4.07
45.14,3489.17,18.11,82.26,57.99
31.73,3543.62,-37.42,84.44,3.97
97.42,4243.42,41.53,98.89,399.79
34.1,3868.32,49.86,87.8,-26.53
58.94,3379.77,3.49,89.36,138.52
69.91,3495.98,-16.35,91.38,197.11
40.34,4954.48,15.23,89.79,-131.67
82.6,3944.88,13.48,97.82,255.37
15.9,3197.6,27.05,88.27,4.45
40.0,3169.33,1.7,80.65,75.19
7.23,3292.94,-31.86,80.38,-22.93
23.8,4689.16,-31.3,84.25,-151.41
72.78,4179.47,59.93,81.41,139.61
43.09,4971.17,-15.38,85.08,-123.09
38.62,4631.21,-32.07,88.44,-100.22
7.88,3458.12,23.74,82.83,-41.08
50.52,3363.19,-2.95,94.22,96.5
59.15,4686.91,-39.8,83.4,-12.66
58.11,4905.9,-1.86,80.88,-44.13
1.81,4505.12,-16.96,93.21,-172.84
69.98,3794.95,48.15,92.64,162.78
52.68,4224.43,15.64,99.99,6.55
62.08,3131.24,1.43,87.37,186.26
60.26,4277.82,30.12,87.22,41.54
35.7,4231.39,52.16,98.37,-63.64
25.86,3862.46,-32.51,85.48,-49.75
45.31,4140.19,-2.18,96.86,-17.2
75.67,4510.89,45.69,91.59,124.89
5.19,4136.09,-18.4,81.66,-124.59
18.37,4266.68,32.87,99.08,-114.91
85.56,3651.06,1.83,94.05,320.57
42.02,3559.52,0.65,86.05,37.31
60.5,4311.33,20.95,91.28,39.06
13.07,3081.26,-36.67,84.07,12.33
4.4,4254.54,-22.9,82.73,-139.66
35.58,4278.89,43.0,82.0,-69.58
57.04,4563.08,-23.07,90.79,-10.13
8.77,4148.0,11.62,90.96,-119.96
88.87,4276.62,-3.32,94.0,284.92
16.44,3177.0,48.33,88.09,7.98
80.5,4019.06,0.63,82.15,226.05
64.41,3713.15,23.25,95.4,133.28
80.14,3870.6,8.41,91.54,239.92
29.4,4714.08,21.93,81.1,-139.33
39.57,3398.28,45.37,97.69,46.93
23.0,3514.34,-22.83,81.43,-16.44
21.06,3651.4,10.76,86.02,-37.07
47.2,3217.18,-13.35,80.4,98.47
32.99,4114.12,28.34,89.75,-58.68
51.9,4288.96,-0.45,84.13,-4.81
46.68,4407.69,15.0,94.31,-42.58
50.36,3201.11,10.48,91.71,114.64
9.5,4350.17,14.45,86.7,-142.24
97.26,4519.58,40.65,96.26,365.3
78.33,3670.42,8.86,84.71,246.39
63.03,4324.19,3.75,82.75,53.15
5.06,4570.68,-21.27,88.45,-175.46
40.76,4117.12,-20.34,89.08,-32.48
80.5,3433.54,58.9,82.86,294.31
2.97,4259.02,7.41,98.62,-142.4
29.23,4386.98,24.24,88.93,-101.69
11.82,4093.36,-33.94,80.85,-108.05
24.2,3592.25,46.24,91.68,-22.53
89.35,3988.7,33.66,89.43,324.14
50.55,4853.35,-5.05,86.9,-77.08
59.11,3925.83,49.87,98.72,75.84
10.07,3998.1,27.43,95.21,-100.17
13.15,3426.22,-7.84,88.7,-27.73
10.78,3572.82,50.23,98.2,-49.3
76.39,4153.86,47.68,85.57,172.73
65.02,3586.89,-20.95,91.22,152.03
55.23,3006.25,56.16,92.65,161.61
47.79,3471.41,-23.02,81.65,71.42
46.05,3625.35,30.56,81.41,45.94
71.82,3259.82,45.99,81.67,239.24
7.52,4253.85,0.8,87.94,-134.46
33.39,4018.23,48.97,93.58,-46.25
33.94,3181.63,-15.31,90.44,53.02
0,3995.62,-36.31,95.83,-116.07
77.32,3133.78,6.74,86.39,299.85
86.52,3561.48,29.58,85.22,341.53
12.58,4854.44,55.42,95.38,-195.33
32.1,3405.17,25.73,98.39,21.23
0,4442.86,-35.19,80.7,-168.21
26.58,4928.97,-26.59,96.62,-172.18
73.81,4636.77,-4.03,83.64,94.64
76.83,4625.65,47.72,81.09,121.59
0,3815.77,-34.58,81.66,-95.1
16.97,3178.81,32.95,84.42,8.88
6.35,4275.85,-1.78,89.04,-138.99
21.89,3052.12,29.79,97.27,34.76
76.19,3464.87,29.61,82.53,251.32
53.72,4155.17,-27.18,93.69,19.85
58.05,3486.44,-1.4,98.73,121.01
54.72,3737.35,51.59,82.74,73.71
61.12,3740.43,48.23,85.46,109.35
53.07,4896.82,41.87,81.48,-69.9
23.06,3610.48,5.09,90.2,-27.5
20.01,4805.29,-30.81,87.63,-174.02
7.44,3598.06,57.24,94.79,-58.14
45.63,3851.55,48.89,95.14,17.79
7.97,3377.88,35.67,81.46,-31.57
59.91,4272.44,40.96,94.99,40.1
